"File inclusion","User input reaches a included file path, enabling File inclusion.","error","This included file path depends on a [[""user-provided value""|""relative:///typo3-extensions__cundd_rest/Tests/Functional/Bootstrap.php:103:21:103:51""]].","/typo3-extensions__cundd_rest/Tests/Functional/Bootstrap.php","40","26","40","54"
"File inclusion","User input reaches a included file path, enabling File inclusion.","error","This included file path depends on a [[""user-provided value""|""relative:///classes__db/DbPDO.php:334:19:334:36""]].
This included file path depends on a [[""user-provided value""|""relative:///controllers__front/AddressController.php:88:17:88:40""]].
This included file path depends on a [[""user-provided value""|""relative:///classes__db/DbPDO.php:464:19:464:42""]].
This included file path depends on a [[""user-provided value""|""relative:///classes__db/DbPDO.php:477:19:477:42""]].
This included file path depends on a [[""user-provided value""|""relative:///classes__db/Db.php:551:25:551:42""]].
This included file path depends on a [[""user-provided value""|""relative:///classes__db/Db.php:598:25:598:42""]].
This included file path depends on a [[""user-provided value""|""relative:///classes__db/Db.php:648:25:648:42""]].
This included file path depends on a [[""user-provided value""|""relative:///controllers__front/OrderDetailController.php:36:24:36:49""]].
This included file path depends on a [[""user-provided value""|""relative:///controllers__front/PasswordController.php:55:36:55:59""]].
This included file path depends on a [[""user-provided value""|""relative:///drupal-modules__acquia_cohesion/modules/cohesion_custom_styles/src/Form/CustomStylesForm.php:239:31:239:74""]].
This included file path depends on a [[""user-provided value""|""relative:///drupal-modules__acquia_cohesion/modules/cohesion_elements/src/Controller/CohesionComponentController.php:101:15:101:36""]].
This included file path depends on a [[""user-provided value""|""relative:///drupal-modules__acquia_cohesion/modules/cohesion_elements/src/Controller/CohesionComponentController.php:148:12:148:31""]].
This included file path depends on a [[""user-provided value""|""relative:///drupal-modules__acquia_cohesion/modules/cohesion_elements/src/Controller/ComponentContentController.php:95:22:95:36""]].
This included file path depends on a [[""user-provided value""|""relative:///drupal-modules__acquia_cohesion/modules/cohesion_elements/src/Controller/ComponentContentController.php:224:21:224:35""]].
This included file path depends on a [[""user-provided value""|""relative:///drupal-modules__acquia_cohesion/modules/cohesion_elements/src/Controller/ComponentContentController.php:265:20:265:41""]].
This included file path depends on a [[""user-provided value""|""relative:///drupal-modules__acquia_cohesion/modules/cohesion_elements/src/CustomComponentDiscovery.php:267:19:267:78""]].
